Step number,Repeats,Cycle,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,0,Cyclic Voltammetry,0.117826339999738,-9.84160804748535,-9.84160804748535,-6.45496902507148e-06,6.45496902507148e-06,0,-2.1126815973218e-07,0.000241026282310486
1,1,0,Cyclic Voltammetry,0.217764179999904,-9.55391407012939,-9.55391407012939,-1.12852967504296e-06,1.12852967504296e-06,0,-2.4259672031548e-07,0.000226721167564392
1,1,0,Cyclic Voltammetry,0.317702869999721,-9.25357532501221,-9.25357532501221,-5.37738742423244e-07,5.37738742423244e-07,0,-2.5752474961546e-07,0.00022481381893158
1,1,0,Cyclic Voltammetry,0.417639109999982,-8.95347881317139,-8.95347881317139,-3.01590915796623e-07,3.01590915796623e-07,0,-2.65896933544058e-07,0.000221952795982361
1,1,0,Cyclic Voltammetry,0.517576779999672,-8.65355396270752,-8.65355396270752,-1.59623297690814e-07,1.59623297690814e-07,0,-2.70328150335415e-07,0.000219091773033142
1,1,0,Cyclic Voltammetry,0.6175141599997,-8.35364151000977,-8.35364151000977,-5.90274495948506e-08,5.90274495948506e-08,0,-2.71966774963358e-07,0.000213369727134705
1,1,0,Cyclic Voltammetry,0.717451659999824,-8.05364418029785,-8.05364418029785,1.76008576602271e-08,1.76008576602271e-08,0,-2.71478167821018e-07,0.000195249915122986
1,1,0,Cyclic Voltammetry,0.81738912999981,-7.75368309020996,-7.75368309020996,7.51359650053018e-08,7.51359650053018e-08,0,-2.69392362751953e-07,0.000146135687828064
1,1,0,Cyclic Voltammetry,0.917326369999955,-7.45370960235596,-7.45370960235596,1.24844675042368e-07,1.24844675042368e-07,0,-2.65926631570717e-07,0.000158056616783142
1,1,0,Cyclic Voltammetry,1.01726390999966,-7.15402364730835,-7.15402364730835,1.69145721429231e-07,1.69145721429231e-07,0,-2.61231073987074e-07,0.000165209174156189
1,1,0,Cyclic Voltammetry,1.11720165999986,-6.85411643981934,-6.85411643981934,2.07291478204752e-07,2.07291478204752e-07,0,-2.55476561785408e-07,0.000157579779624939
1,1,0,Cyclic Voltammetry,1.21713929999987,-6.55415439605713,-6.55415439605713,2.3862625653237e-07,2.3862625653237e-07,0,-2.48852188196552e-07,0.000146612524986267
1,1,0,Cyclic Voltammetry,1.31707843000004,-6.25443267822266,-6.25443267822266,2.66915265001444e-07,2.66915265001444e-07,0,-2.41442388372105e-07,0.000137552618980408
1,1,0,Cyclic Voltammetry,1.41701399999965,-5.9544939994812,-5.9544939994812,2.89729371161229e-07,2.89729371161229e-07,0,-2.33399535635264e-07,0.000146612524986267
1,1,0,Cyclic Voltammetry,1.51695170999983,-5.65478658676147,-5.65478658676147,3.10487052956887e-07,3.10487052956887e-07,0,-2.24780267563815e-07,0.000135168433189392
1,1,0,Cyclic Voltammetry,1.61688913999978,-5.35487747192383,-5.35487747192383,3.31915970264163e-07,3.31915970264163e-07,0,-2.15566148384887e-07,0.000130400061607361
1,1,0,Cyclic Voltammetry,1.71682652999971,-5.05502462387085,-5.05502462387085,3.51108781160292e-07,3.51108781160292e-07,0,-2.05819233052883e-07,0.000118479132652283
1,1,0,Cyclic Voltammetry,1.81676446999973,-4.75524711608887,-4.75524711608887,3.66656394135134e-07,3.66656394135134e-07,0,-1.95640653964633e-07,0.000123247504234314
1,1,0,Cyclic Voltammetry,1.91670165999994,-4.45553922653198,-4.45553922653198,3.80634759267195e-07,3.80634759267195e-07,0,-1.85074107226419e-07,0.000116094946861267
1,1,0,Cyclic Voltammetry,2.01663949999966,-4.15566778182983,-4.15566778182983,3.95055224089447e-07,3.95055224089447e-07,0,-1.74107172288613e-07,9.55909490585327e-05
1,1,0,Cyclic Voltammetry,2.11657661999971,-3.84217309951782,-3.84217309951782,3.54161358018246e-07,3.54161358018246e-07,0,-1.64275542806488e-07,8.41468572616577e-05
1,1,0,Cyclic Voltammetry,2.21651458999986,-3.55641412734985,-3.55641412734985,3.64732983371141e-07,3.64732983371141e-07,0,-1.54150355598095e-07,7.07954168319702e-05
1,1,0,Cyclic Voltammetry,2.31645201999982,-3.25677585601807,-3.25677585601807,3.74884621123783e-07,3.74884621123783e-07,0,-1.43743409603202e-07,3.09795141220093e-05
1,1,0,Cyclic Voltammetry,2.41638977000002,-2.95689702033997,-2.95689702033997,3.8413887182287e-07,3.8413887182287e-07,0,-1.33079527787203e-07,4.9099326133728e-05
1,1,0,Cyclic Voltammetry,2.51632695999979,-2.6570611000061,-2.6570611000061,3.9262451423383e-07,3.9262451423383e-07,0,-1.22180141487883e-07,4.29004430770874e-05
1,1,0,Cyclic Voltammetry,2.61626491999959,-2.3572313785553,-2.3572313785553,4.00690453261632e-07,4.00690453261632e-07,0,-1.1105675635167e-07,6.53117895126343e-05
1,1,0,Cyclic Voltammetry,2.71620198999972,-2.05725812911987,-2.05725812911987,4.08597173873204e-07,4.08597173873204e-07,0,-9.97139773607761e-08,3.52710485458374e-05
1,1,0,Cyclic Voltammetry,2.81613933999961,-1.7573961019516,-1.7573961019516,4.15208432968939e-07,4.15208432968939e-07,0,-8.81876355584086e-08,1.52438879013062e-05
1,1,0,Cyclic Voltammetry,2.91607896999994,-1.45758950710297,-1.45758950710297,4.2150901435889e-07,4.2150901435889e-07,0,-7.64861202981771e-08,-1.92075967788696e-05
